date,predicted_index,real_price,regime_probability,steel_etf,iron_ore,thermal_coal_futures,bdry_freight,al_price,india_steel,vix,usd_inr,silica_quartz_index,cny_inr,hydrology_rainfall_index,zce_fesi_futures,carbon_emissions_futures,electricity_power_index,fx_effect
2027-05-07,234.84385,97.4219,0.1089,109.5217,136.392,55.9421,20.5238,4169.9807,1230.7071,18.6842,94.9696,148.27,13.786,100.0,5628.0,74.71,110.7412,6.8888
2027-05-14,234.14996,97.1341,0.0962,113.9162,130.2807,57.7226,22.8705,3884.5885,1189.4867,20.4891,94.8504,148.27,13.786,100.0,5628.0,74.71,113.3109,6.8802
2027-05-21,232.92986,96.6279,0.0898,114.4923,129.4775,61.8465,23.3354,3926.5244,1168.9484,18.9334,94.5724,148.27,13.786,100.0,5628.0,74.71,119.263,6.86
2027-05-28,232.73825,96.5484,0.0859,116.1403,140.9168,65.1141,22.8048,4069.6715,1148.9348,13.6352,93.8999,148.27,13.786,100.0,5628.0,74.71,123.9791,6.8113
2027-06-04,234.95105,97.4664,0.1271,116.3544,150.8944,66.386,22.4628,4172.5411,1044.4584,14.1545,94.4472,148.27,13.786,100.0,5628.0,74.71,125.8148,6.851
2027-06-11,234.75162,97.3837,0.1058,118.2828,148.3843,68.9162,26.6144,4198.0868,1056.1268,13.1401,93.8823,148.27,13.786,100.0,5628.0,74.71,129.4668,6.81
2027-06-18,234.00168,97.0725,0.1227,118.7799,145.5452,70.896,27.3104,4330.0369,1033.427,12.5761,93.2325,148.27,13.786,100.0,5628.0,74.71,132.3241,6.7628
2027-06-25,231.71775,96.1251,0.1723,123.0719,140.1987,74.6346,30.2312,4385.6941,1121.2679,11.0997,92.4074,148.27,13.786,100.0,5628.0,74.71,137.72,6.703
2027-07-02,231.3135,95.9574,0.1806,126.9176,139.8987,75.8812,27.836,4712.286,1127.9215,11.2918,92.9127,148.27,13.786,100.0,5628.0,74.71,139.5193,6.7396
2027-07-09,232.47653,96.4399,0.2146,122.5122,142.6272,84.8046,30.7872,4939.1029,1103.5768,9.6265,92.8425,148.27,13.786,100.0,5628.0,74.71,152.3983,6.7346
2027-07-16,232.20222,96.3261,0.1749,113.478,151.8103,84.0193,29.8541,4799.0863,1027.5915,10.9846,92.9065,148.27,13.786,100.0,5628.0,74.71,151.2649,6.7392
2027-07-23,231.60345,96.0777,0.1973,111.833,162.5043,82.7433,26.7262,4767.9689,1015.8212,7.1167,92.8835,148.27,13.786,100.0,5628.0,74.71,149.4232,6.7375
2027-07-30,231.13792,95.8846,0.1931,121.7864,170.1505,81.4418,24.6398,5141.5091,1018.7077,7.13,92.8805,148.27,13.786,100.0,5628.0,74.71,147.5449,6.7373
2027-08-06,231.08164,95.8612,0.2263,118.7157,166.4198,81.2865,23.6848,5039.0208,1023.6812,6.8411,93.9162,148.27,13.786,100.0,5628.0,74.71,147.3207,6.8124
2027-08-13,231.99436,96.2398,0.2628,125.7595,152.96,79.6598,23.0584,4839.7256,990.0371,5.7203,95.1348,148.27,13.786,100.0,5628.0,74.71,144.9729,6.9008
2027-08-20,234.23131,97.1678,0.2724,130.0614,146.0999,77.2318,23.9287,4673.3265,1021.3183,5.5017,94.8875,148.27,13.786,100.0,5628.0,74.71,141.4685,6.8829
2027-08-27,235.47747,97.6848,0.2625,128.0108,153.1761,72.4565,25.0653,4757.084,1007.9587,5.7961,94.0382,148.27,13.786,100.0,5628.0,74.71,134.5764,6.8213
2027-09-03,240.67117,99.8393,0.3097,125.0611,159.8746,69.5058,22.5931,4548.8789,1034.9818,4.7161,95.2588,148.27,13.786,100.0,5628.0,74.71,130.3177,6.9098
2027-09-10,233.98017,97.0636,0.3014,126.3449,159.259,67.306,23.2873,4546.0873,1085.8451,4.8021,95.3737,148.27,13.786,100.0,5628.0,74.71,127.1426,6.9182
2027-09-17,234.26945,97.1836,0.2719,128.2051,148.5569,62.156,24.623,4570.8326,1077.4532,4.815,95.6257,148.27,13.786,100.0,5628.0,74.71,119.7096,6.9364
2027-09-24,235.38119,97.6448,0.298,129.4257,142.7652,63.674,21.7137,4711.7415,1099.9402,5.0161,96.3224,148.27,13.786,100.0,5628.0,74.71,121.9006,6.987
2027-10-01,240.9661,99.9616,0.25,119.0372,135.5264,61.3683,21.7682,4785.2193,1066.1236,5.1677,95.8034,148.27,13.786,100.0,5628.0,74.71,118.5728,6.9493
2027-10-08,233.56345,96.8908,0.268,114.1716,128.277,57.9324,23.5513,4656.848,1195.0203,5.5929,95.9415,148.27,13.786,100.0,5628.0,74.71,113.6138,6.9593
2027-10-15,236.25722,98.0082,0.3183,111.257,128.9244,67.3895,23.3964,4816.9554,1159.3954,5.5602,97.1956,148.27,13.786,100.0,5628.0,74.71,127.2632,7.0503
2027-10-22,235.17985,97.5613,0.3298,114.9671,126.0129,69.9552,25.16,4906.6687,1083.3889,4.9456,97.0291,148.27,13.786,100.0,5628.0,74.71,130.9663,7.0382
2027-10-29,238.75246,99.0433,0.2722,115.9542,119.3509,71.5449,26.339,4988.9743,1135.463,5.654,97.3622,148.27,13.786,100.0,5628.0,74.71,133.2606,7.0624
2027-11-05,240.8722,99.9227,0.2687,118.3026,120.3716,72.7027,23.9694,4836.292,1188.61,5.617,97.8545,148.27,13.786,100.0,5628.0,74.71,134.9317,7.0981
2027-11-12,240.05112,99.5821,0.2378,123.5367,117.875,73.1176,23.1715,4777.1743,1172.9823,5.8201,97.5215,148.27,13.786,100.0,5628.0,74.71,135.5306,7.074
2027-11-19,236.87269,98.2636,0.2675,122.5317,115.7893,79.6419,23.522,4924.222,1100.0818,6.0743,98.1626,148.27,13.786,100.0,5628.0,74.71,144.9471,7.1205
2027-11-26,239.43749,99.3275,0.255,119.7107,122.6353,91.2245,22.9066,4862.3466,1171.6771,7.8294,97.7965,148.27,13.786,100.0,5628.0,74.71,161.6642,7.0939
2027-12-03,241.97766,100.3813,0.2453,112.6124,118.1382,85.973,21.6466,4858.8756,1183.7725,10.0445,97.0947,148.27,13.786,100.0,5628.0,74.71,154.0847,7.043
2027-12-10,234.80332,97.4051,0.2266,112.3953,121.4354,80.4582,22.2782,4883.8245,1209.431,10.5208,98.8529,148.27,13.786,100.0,5628.0,74.71,146.1253,7.1705
2027-12-17,234.88458,97.4388,0.244,109.273,118.7247,77.4867,24.342,5091.1142,1180.059,9.2013,99.1991,148.27,13.786,100.0,5628.0,74.71,141.8365,7.1956
2027-12-24,233.96476,97.0572,0.3017,110.3253,111.6231,84.9032,27.8216,5002.5213,1160.5542,9.6327,99.4471,148.27,13.786,100.0,5628.0,74.71,152.5407,7.2136
2027-12-31,234.98533,97.4806,0.3312,109.4685,108.0573,78.2619,26.3617,4998.955,1254.4446,8.862,99.615,148.27,13.786,100.0,5628.0,74.71,142.9554,7.2258
2028-01-07,232.85553,96.5971,0.3566,122.9107,105.7506,76.0329,28.4946,5100.2664,1358.9892,9.733,99.3603,148.27,13.786,100.0,5628.0,74.71,139.7382,7.2073
2028-01-14,235.04413,97.505,0.3227,127.6438,107.962,80.9776,31.087,5310.6021,1397.8366,9.4737,99.4718,148.27,13.786,100.0,5628.0,74.71,146.8749,7.2154
2028-01-21,234.12069,97.1219,0.3802,129.8475,106.2505,81.1159,34.1907,5341.3688,1400.7876,7.6119,100.019,148.27,13.786,100.0,5628.0,74.71,147.0746,7.2551
2028-01-28,234.94029,97.4619,0.3752,128.065,107.2068,82.3202,38.4474,5327.7222,1417.9439,8.3925,100.16,148.27,13.786,100.0,5628.0,74.71,148.8127,7.2653
2028-02-04,235.99136,97.8979,0.3628,134.5408,102.8212,82.97,36.511,5517.1971,1327.5863,7.6702,100.4402,148.27,13.786,100.0,5628.0,74.71,149.7505,7.2857
2028-02-11,233.37173,96.8112,0.3361,131.1986,111.011,76.1701,31.0227,5589.3203,1299.1584,6.5078,100.9643,148.27,13.786,100.0,5628.0,74.71,139.9362,7.3237
2028-02-18,233.03422,96.6712,0.3352,123.7661,115.0295,79.1526,30.8031,5898.6937,1240.455,5.0915,100.4612,148.27,13.786,100.0,5628.0,74.71,144.2408,7.2872
2028-02-25,230.37809,95.5693,0.3405,122.4344,116.694,73.5136,34.2946,5885.6837,1302.0303,5.3794,100.8002,148.27,13.786,100.0,5628.0,74.71,136.1021,7.3118
2028-03-03,233.1877,96.7349,0.2892,126.1114,123.1877,74.3724,36.1556,5871.3653,1385.89,4.8245,102.135,148.27,13.786,100.0,5628.0,74.71,137.3416,7.4086
2028-03-10,231.54745,96.0544,0.3066,126.8771,119.8216,78.1585,34.4541,5796.6601,1277.1378,4.4856,100.3518,148.27,13.786,100.0,5628.0,74.71,142.8061,7.2793
2028-03-17,232.37024,96.3958,0.301,131.5432,121.9189,73.8206,34.3398,5796.9776,1214.7629,5.7118,100.9988,148.27,13.786,100.0,5628.0,74.71,136.5451,7.3262
2028-03-24,229.72666,95.2991,0.3122,132.8265,112.195,72.7512,32.652,5631.4712,1200.1528,7.6256,101.4749,148.27,13.786,100.0,5628.0,74.71,135.0018,7.3607
2028-03-31,234.58104,97.3129,0.2894,141.6273,116.5029,73.0084,31.1277,5747.7959,1220.8507,8.8055,101.9488,148.27,13.786,100.0,5628.0,74.71,135.3729,7.3951
2028-04-07,233.60858,96.9095,0.2967,150.4454,117.4469,82.5284,29.5815,6046.1731,1231.4326,7.9291,101.5935,148.27,13.786,100.0,5628.0,74.71,149.1131,7.3693
2028-04-14,234.57242,97.3093,0.2602,154.1098,114.7375,82.4103,34.6845,6358.4468,1254.9886,7.977,101.6856,148.27,13.786,100.0,5628.0,74.71,148.9426,7.376
2028-04-21,233.41122,96.8276,0.288,152.3301,107.2027,84.3769,36.3972,6270.5684,1343.5563,6.5495,100.61,148.27,13.786,100.0,5628.0,74.71,151.781,7.298
2028-04-28,236.54006,98.1256,0.3242,164.5462,105.2202,89.9275,36.2995,6239.9566,1396.0238,7.2733,99.4645,148.27,13.786,100.0,5628.0,74.71,159.7923,7.2149
2028-05-05,236.16215,97.9688,0.3056,159.9289,106.9321,92.5905,37.0144,6141.6573,1356.0934,7.2429,100.3203,148.27,13.786,100.0,5628.0,74.71,163.6357,7.277
2028-05-12,234.47644,97.2695,0.3097,165.6951,95.2224,99.0907,32.5368,6077.9825,1291.9991,5.8812,101.1747,148.27,13.786,100.0,5628.0,74.71,173.0175,7.3389
2028-05-19,234.35477,97.219,0.3286,165.3615,97.0921,99.5418,29.5865,6257.2872,1264.7394,4.5786,100.8624,148.27,13.786,100.0,5628.0,74.71,173.6685,7.3163
2028-05-26,232.53253,96.4631,0.315,162.7666,95.7227,97.6692,34.5208,6327.824,1288.5651,5.4033,101.0404,148.27,13.786,100.0,5628.0,74.71,170.9659,7.3292
2028-06-02,235.06923,97.5154,0.3185,162.254,95.5793,101.9583,34.6589,6464.706,1284.129,5.4717,99.5831,148.27,13.786,100.0,5628.0,74.71,177.1563,7.2235
2028-06-09,234.33772,97.212,0.3688,169.849,84.9474,115.3424,34.3062,6677.0238,1227.6581,6.0379,98.8243,148.27,13.786,100.0,5628.0,74.71,196.4735,7.1685
2028-06-16,231.32812,95.9635,0.3902,168.3932,85.7042,121.4247,35.5961,6706.9155,1247.2597,8.886,98.785,148.27,13.786,100.0,5628.0,74.71,205.2521,7.1656
2028-06-23,231.82727,96.1705,0.3886,177.1427,89.9501,126.0931,32.7054,7033.7243,1186.9246,9.3287,98.2459,148.27,13.786,100.0,5628.0,74.71,211.9901,7.1265
2028-06-30,235.25718,97.5934,0.3983,179.7831,91.5103,138.7021,33.8288,6984.5788,1237.5555,11.2944,97.3735,148.27,13.786,100.0,5628.0,74.71,230.1885,7.0632
2028-07-07,236.2116,97.9893,0.361,177.3709,96.7845,137.4788,34.1493,6950.1007,1238.4363,9.4686,96.3595,148.27,13.786,100.0,5628.0,74.71,228.423,6.9897
2028-07-14,232.81149,96.5788,0.3416,169.5261,88.6601,132.388,30.9592,7290.5027,1293.8193,8.4763,97.9549,148.27,13.786,100.0,5628.0,74.71,221.0754,7.1054
2028-07-21,230.33737,95.5525,0.3587,151.2322,97.3307,121.9576,27.4038,7511.0643,1437.9893,10.589,98.3598,148.27,13.786,100.0,5628.0,74.71,206.0213,7.1348
2028-07-28,234.55627,97.3026,0.3161,156.5857,98.4528,122.7108,27.2795,7348.7582,1420.67,8.0651,98.291,148.27,13.786,100.0,5628.0,74.71,207.1084,7.1298
2028-08-04,232.90491,96.6176,0.2801,157.8921,104.196,129.5502,24.281,7140.8469,1479.767,6.8862,98.132,148.27,13.786,100.0,5628.0,74.71,216.9797,7.1182
2028-08-11,233.14347,96.7165,0.3162,158.6673,98.6878,125.0302,24.8663,6818.1458,1508.2987,6.8642,98.5292,148.27,13.786,100.0,5628.0,74.71,210.456,7.147
2028-08-18,229.91722,95.3782,0.3617,159.5906,96.9782,125.9369,25.8915,6828.2813,1510.9952,6.1312,98.0561,148.27,13.786,100.0,5628.0,74.71,211.7646,7.1127
2028-08-25,234.76729,97.3902,0.4164,150.7785,94.281,120.7057,27.6716,6770.4029,1594.8971,5.5017,98.257,148.27,13.786,100.0,5628.0,74.71,204.2144,7.1273
